Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
195,731,hizo,314,0.0005704631,0.057046,317772,57.731592
196,732,cielo,312,0.0005668296,0.056683,318084,57.788275
197,733,estos,311,0.0005650128,0.056501,318395,57.844776
198,734,razón,304,0.0005522955,0.055230,318699,57.900005
199,735,mío,301,0.0005468452,0.054685,319000,57.954690
200,736,según,301,0.0005468452,0.054685,319301,58.009374
201,737,pena,297,0.0005395781,0.053958,319598,58.063332
202,738,caballeros,295,0.0005359446,0.053594,319893,58.116927
203,739,muchos,295,0.0005359446,0.053594,320188,58.170521
204,740,cuenta,293,0.0005323111,0.053231,320481,58.223752
205,741,hija,293,0.0005323111,0.053231,320774,58.276983
206,742,haber,292,0.0005304943,0.053049,321066,58.330033
207,743,vos,292,0.0005304943,0.053049,321358,58.383082
208,744,grande,289,0.0005250441,0.052504,321647,58.435587
209,745,dulcinea,286,0.0005195938,0.051959,321933,58.487546
210,746,siempre,282,0.0005123267,0.051233,322215,58.538779
211,747,duque,281,0.0005105100,0.051051,322496,58.589830
212,748,veces,281,0.0005105100,0.051051,322777,58.640881
213,749,nombre,275,0.0004996094,0.049961,323052,58.690842
214,750,mucha,274,0.0004977926,0.049779,323326,58.740621
215,751,mía,272,0.0004941591,0.049416,323598,58.790037
216,752,razones,272,0.0004941591,0.049416,323870,58.839453
217,753,va,272,0.0004941591,0.049416,324142,58.888869
218,754,cuanto,270,0.0004905256,0.049053,324412,58.937921
219,755,habían,270,0.0004905256,0.049053,324682,58.986974
220,756,dice,268,0.0004868921,0.048689,324950,59.035663
221,757,mil,268,0.0004868921,0.048689,325218,59.084352
222,758,vna,266,0.0004832585,0.048326,325484,59.132678
223,759,escudero,265,0.0004814418,0.048144,325749,59.180822
224,760,causa,264,0.0004796250,0.047963,326013,59.228785
225,761,puerta,264,0.0004796250,0.047963,326277,59.276747
226,762,jamás,263,0.0004778083,0.047781,326540,59.324528
227,763,cierto,262,0.0004759915,0.047599,326802,59.372127
228,764,historia,262,0.0004759915,0.047599,327064,59.419726
229,765,vino,262,0.0004759915,0.047599,327326,59.467326
230,766,mayor,261,0.0004741747,0.047417,327587,59.514743
231,767,triste,259,0.0004705412,0.047054,327846,59.561797
232,768,vieja,259,0.0004705412,0.047054,328105,59.608851
233,769,cabeza,258,0.0004687245,0.046872,328363,59.655724
234,770,diciendo,256,0.0004650909,0.046509,328619,59.702233
235,771,nada,256,0.0004650909,0.046509,328875,59.748742
236,772,primero,256,0.0004650909,0.046509,329131,59.795251
237,773,voluntad,256,0.0004650909,0.046509,329387,59.841760
238,774,quando,255,0.0004632742,0.046327,329642,59.888087
239,775,punto,254,0.0004614574,0.046146,329896,59.934233
240,776,desde,253,0.0004596406,0.045964,330149,59.980197
241,777,vio,253,0.0004596406,0.045964,330402,60.026161
242,778,eran,252,0.0004578239,0.045782,330654,60.071944
243,779,vez,251,0.0004560071,0.045601,330905,60.117544
244,780,fuese,250,0.0004541904,0.045419,331155,60.162964
245,781,tanta,250,0.0004541904,0.045419,331405,60.208383
246,782,alma,249,0.0004523736,0.045237,331654,60.253620
247,783,decía,246,0.0004469233,0.044692,331900,60.298312
248,784,comer,245,0.0004451066,0.044511,332145,60.342823
249,785,ninguna,245,0.0004451066,0.044511,332390,60.387334
250,786,quiere,244,0.0004432898,0.044329,332634,60.431663
251,787,adelante,242,0.0004396563,0.043966,332876,60.475628
252,788,solo,242,0.0004396563,0.043966,333118,60.519594
253,789,da,240,0.0004360227,0.043602,333358,60.563196
254,790,gente,238,0.0004323892,0.043239,333596,60.606435
255,791,palabra,237,0.0004305725,0.043057,333833,60.649492
256,792,pie,237,0.0004305725,0.043057,334070,60.692549
257,793,cuerpo,236,0.0004287557,0.042876,334306,60.735425
258,794,aquellos,234,0.0004251222,0.042512,334540,60.777937
259,795,algo,233,0.0004233054,0.042331,334773,60.820268
260,796,mesmo,231,0.0004196719,0.041967,335004,60.862235
261,797,dado,230,0.0004178551,0.041786,335234,60.904020
262,798,elicia,230,0.0004178551,0.041786,335464,60.945806
263,799,menester,230,0.0004178551,0.041786,335694,60.987592
264,800,hombres,229,0.0004160384,0.041604,335923,61.029195
265,801,estoy,227,0.0004124048,0.041240,336150,61.070436
266,802,palabras,227,0.0004124048,0.041240,336377,61.111676
267,803,podía,227,0.0004124048,0.041240,336604,61.152917
268,804,gusto,226,0.0004105881,0.041059,336830,61.193976
269,805,estar,224,0.0004069546,0.040695,337054,61.234671
270,806,muerto,224,0.0004069546,0.040695,337278,61.275367
271,807,mala,223,0.0004051378,0.040514,337501,61.315880
272,808,presto,223,0.0004051378,0.040514,337724,61.356394
273,809,viene,223,0.0004051378,0.040514,337947,61.396908
274,810,boca,222,0.0004033210,0.040332,338169,61.437240
275,811,mismo,222,0.0004033210,0.040332,338391,61.477572
276,812,sido,222,0.0004033210,0.040332,338613,61.517904
277,813,nuestra,221,0.0004015043,0.040150,338834,61.558055
278,814,duda,220,0.0003996875,0.039969,339054,61.598023
279,815,oh,219,0.0003978708,0.039787,339273,61.637810
280,816,tales,219,0.0003978708,0.039787,339492,61.677598
281,817,debe,218,0.0003960540,0.039605,339710,61.717203
282,818,hijo,218,0.0003960540,0.039605,339928,61.756808
283,819,areusa,216,0.0003924205,0.039242,340144,61.796050
284,820,parecer,216,0.0003924205,0.039242,340360,61.835292
285,821,sólo,216,0.0003924205,0.039242,340576,61.874534
286,822,pies,215,0.0003906037,0.039060,340791,61.913595
287,823,deste,213,0.0003869702,0.038697,341004,61.952292
288,824,mira,213,0.0003869702,0.038697,341217,61.990989
289,825,dolor,212,0.0003851534,0.038515,341429,62.029504
290,826,venir,212,0.0003851534,0.038515,341641,62.068020
291,827,hace,211,0.0003833367,0.038334,341852,62.106353
292,828,sabe,211,0.0003833367,0.038334,342063,62.144687
293,829,avnque,210,0.0003815199,0.038152,342273,62.182839
294,830,duquesa,210,0.0003815199,0.038152,342483,62.220991
295,831,persona,210,0.0003815199,0.038152,342693,62.259143
296,832,voz,209,0.0003797031,0.037970,342902,62.297113
297,833,lucrecia,208,0.0003778864,0.037789,343110,62.334902
298,834,replicó,208,0.0003778864,0.037789,343318,62.372690
299,835,ellas,207,0.0003760696,0.037607,343525,62.410297
300,836,rocinante,207,0.0003760696,0.037607,343732,62.447904
301,837,llegó,206,0.0003742529,0.037425,343938,62.485330
302,838,años,205,0.0003724361,0.037244,344143,62.522573
303,839,vuesa,203,0.0003688026,0.036880,344346,62.559454
304,840,creo,202,0.0003669858,0.036699,344548,62.596152
305,841,estaban,202,0.0003669858,0.036699,344750,62.632851
306,842,allá,200,0.0003633523,0.036335,344950,62.669186
307,843,caballo,200,0.0003633523,0.036335,345150,62.705521
308,844,lengua,200,0.0003633523,0.036335,345350,62.741856
309,845,están,199,0.0003615355,0.036154,345549,62.778010
310,846,poder,199,0.0003615355,0.036154,345748,62.814163
311,847,ventura,199,0.0003615355,0.036154,345947,62.850317
312,848,andante,197,0.0003579020,0.035790,346144,62.886107
313,849,loco,197,0.0003579020,0.035790,346341,62.921897
314,850,viendo,197,0.0003579020,0.035790,346538,62.957688
315,851,hora,196,0.0003560852,0.035609,346734,62.993296
316,852,vuestro,196,0.0003560852,0.035609,346930,63.028905
317,853,armas,195,0.0003542685,0.035427,347125,63.064332
318,854,iba,195,0.0003542685,0.035427,347320,63.099758
319,855,memoria,194,0.0003524517,0.035245,347514,63.135004
320,856,eres,193,0.0003506350,0.035063,347707,63.170067
321,857,agua,192,0.0003488182,0.034882,347899,63.204949
322,858,quiso,192,0.0003488182,0.034882,348091,63.239831
323,859,tienen,192,0.0003488182,0.034882,348283,63.274712
324,860,mancha,190,0.0003451847,0.034518,348473,63.309231
325,861,qual,190,0.0003451847,0.034518,348663,63.343749
326,862,cuatro,188,0.0003415512,0.034155,348851,63.377905
327,863,pedro,188,0.0003415512,0.034155,349039,63.412060
328,864,deseo,187,0.0003397344,0.033973,349226,63.446033
329,865,caso,186,0.0003379176,0.033792,349412,63.479825
