Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
202,737,were,15704,0.0004074883,0.040749,17458577,45.301614
203,738,políticas,15680,0.0004068655,0.040687,17474257,45.342301
204,739,ejemplo,15649,0.0004060611,0.040606,17489906,45.382907
205,740,sido,15635,0.0004056979,0.040570,17505541,45.423476
206,741,debe,15539,0.0004032068,0.040321,17521080,45.463797
207,742,internacional,15423,0.0004001969,0.040020,17536503,45.503817
208,743,mediante,15418,0.0004000671,0.040007,17551921,45.543824
209,744,conocimiento,15362,0.0003986140,0.039861,17567283,45.583685
210,745,control,15360,0.0003985621,0.039856,17582643,45.623541
211,746,aunque,15354,0.0003984065,0.039841,17597997,45.663382
212,747,fi,15336,0.0003979394,0.039794,17613333,45.703176
213,748,acuerdo,15328,0.0003977318,0.039773,17628661,45.742949
214,749,garcía,15293,0.0003968236,0.039682,17643954,45.782631
215,750,autónoma,15216,0.0003948256,0.039483,17659170,45.822114
216,751,valor,15178,0.0003938396,0.039384,17674348,45.861498
217,752,cambio,15153,0.0003931909,0.039319,17689501,45.900817
218,753,pro,15045,0.0003903885,0.039039,17704546,45.939856
219,754,muestra,14912,0.0003869374,0.038694,17719458,45.978549
220,755,algunos,14899,0.0003866001,0.038660,17734357,46.017209
221,756,país,14838,0.0003850173,0.038502,17749195,46.055711
222,757,mundo,14681,0.0003809434,0.038094,17763876,46.093806
223,758,pa,14627,0.0003795422,0.037954,17778503,46.131760
224,759,según,14614,0.0003792049,0.037920,17793117,46.169680
225,760,na,14580,0.0003783227,0.037832,17807697,46.207513
226,761,tabla,14480,0.0003757279,0.037573,17822177,46.245085
227,762,género,14477,0.0003756500,0.037565,17836654,46.282650
228,763,menos,14473,0.0003755462,0.037555,17851127,46.320205
229,764,sí,14422,0.0003742229,0.037422,17865549,46.357627
230,765,dentro,14419,0.0003741450,0.037415,17879968,46.395042
231,766,agua,14384,0.0003732368,0.037324,17894352,46.432365
232,767,fuente,14381,0.0003731590,0.037316,17908733,46.469681
233,768,condiciones,14299,0.0003710313,0.037103,17923032,46.506784
234,769,otra,14205,0.0003685921,0.036859,17937237,46.543644
235,770,siglo,14156,0.0003673207,0.036732,17951393,46.580376
236,771,julio,14137,0.0003668277,0.036683,17965530,46.617058
237,772,junio,14127,0.0003665682,0.036657,17979657,46.653715
238,773,li,14125,0.0003665163,0.036652,17993782,46.690367
239,774,po,14121,0.0003664125,0.036641,18007903,46.727008
240,775,ese,14093,0.0003656860,0.036569,18021996,46.763577
241,776,relaciones,14080,0.0003653486,0.036535,18036076,46.800112
242,777,casos,14009,0.0003635063,0.036351,18050085,46.836462
243,778,especies,13987,0.0003629355,0.036294,18064072,46.872756
244,779,valores,13979,0.0003627279,0.036273,18078051,46.909029
245,780,qué,13859,0.0003596141,0.035961,18091910,46.944990
246,781,recursos,13700,0.0003554884,0.035549,18105610,46.980539
247,782,mientras,13594,0.0003527379,0.035274,18119204,47.015813
248,783,which,13567,0.0003520373,0.035204,18132771,47.051016
249,784,cuenta,13495,0.0003501690,0.035017,18146266,47.086033
250,785,propia,13439,0.0003487159,0.034872,18159705,47.120905
251,786,importante,13429,0.0003484564,0.034846,18173134,47.155751
252,787,gran,13338,0.0003460952,0.034610,18186472,47.190360
253,788,efecto,13304,0.0003452129,0.034521,18199776,47.224881
254,789,pública,13203,0.0003425922,0.034259,18212979,47.259141
255,790,cómo,13010,0.0003375842,0.033758,18225989,47.292899
256,791,crecimiento,12988,0.0003370134,0.033701,18238977,47.326600
257,792,están,12979,0.0003367798,0.033678,18251956,47.360278
258,793,primera,12892,0.0003345223,0.033452,18264848,47.393731
259,794,procesos,12854,0.0003335363,0.033354,18277702,47.427084
260,795,be,12847,0.0003333547,0.033335,18290549,47.460420
261,796,sea,12772,0.0003314086,0.033141,18303321,47.493560
262,797,gonzález,12712,0.0003298517,0.032985,18316033,47.526546
263,798,grupos,12680,0.0003290214,0.032902,18328713,47.559448
264,799,or,12632,0.0003277758,0.032778,18341345,47.592225
265,800,países,12630,0.0003277240,0.032772,18353975,47.624998
266,801,mexico,12626,0.0003276202,0.032762,18366601,47.657760
267,802,ley,12583,0.0003265044,0.032650,18379184,47.690410
268,803,primer,12562,0.0003259595,0.032596,18391746,47.723006
269,804,después,12519,0.0003248437,0.032484,18404265,47.755491
270,805,mo,12407,0.0003219375,0.032194,18416672,47.787684
271,806,centro,12402,0.0003218078,0.032181,18429074,47.819865
272,807,superior,12391,0.0003215224,0.032152,18441465,47.852017
273,808,cio,12386,0.0003213926,0.032139,18453851,47.884157
274,809,debido,12375,0.0003211072,0.032111,18466226,47.916267
275,810,teoría,12355,0.0003205882,0.032059,18478581,47.948326
276,811,at,12260,0.0003181232,0.031812,18490841,47.980138
277,812,juridicas,12255,0.0003179934,0.031799,18503096,48.011938
278,813,cuales,12224,0.0003171890,0.031719,18515320,48.043657
279,814,investigaciones,12222,0.0003171371,0.031714,18527542,48.075370
280,815,men,12182,0.0003160992,0.031610,18539724,48.106980
281,816,pre,12176,0.0003159435,0.031594,18551900,48.138575
282,817,so,12060,0.0003129336,0.031293,18563960,48.169868
283,818,formación,12049,0.0003126481,0.031265,18576009,48.201133
284,819,económico,12038,0.0003123627,0.031236,18588047,48.232369
285,820,cultura,11955,0.0003102090,0.031021,18600002,48.263390
286,821,economía,11947,0.0003100014,0.031000,18611949,48.294390
287,822,hecho,11931,0.0003095863,0.030959,18623880,48.325349
288,823,posible,11873,0.0003080813,0.030808,18635753,48.356157
289,824,lópez,11792,0.0003059795,0.030598,18647545,48.386755
290,825,pacientes,11788,0.0003058757,0.030588,18659333,48.417342
291,826,humanos,11778,0.0003056162,0.030562,18671111,48.447904
292,827,contra,11764,0.0003052529,0.030525,18682875,48.478429
293,828,presente,11752,0.0003049416,0.030494,18694627,48.508923
294,829,misma,11750,0.0003048897,0.030489,18706377,48.539412
295,830,nes,11713,0.0003039296,0.030393,18718090,48.569805
296,831,contexto,11696,0.0003034885,0.030349,18729786,48.600154
297,832,hace,11575,0.0003003488,0.030035,18741361,48.630189
298,833,ellos,11542,0.0002994925,0.029949,18752903,48.660138
299,834,ver,11523,0.0002989995,0.029900,18764426,48.690038
300,835,solo,11446,0.0002970015,0.029700,18775872,48.719738
301,836,res,11391,0.0002955743,0.029557,18787263,48.749296
302,837,unidos,11378,0.0002952370,0.029524,18798641,48.778820
303,838,ante,11372,0.0002950813,0.029508,18810013,48.808328
304,839,evaluación,11355,0.0002946402,0.029464,18821368,48.837792
305,840,calidad,11351,0.0002945364,0.029454,18832719,48.867245
306,841,tener,11307,0.0002933947,0.029339,18844026,48.896585
307,842,pdf,11257,0.0002920973,0.029210,18855283,48.925795
308,843,media,11210,0.0002908777,0.029088,18866493,48.954882
309,844,objetivo,11200,0.0002906182,0.029062,18877693,48.983944
310,845,modo,11181,0.0002901252,0.029013,18888874,49.012957
311,846,tan,11181,0.0002901252,0.029013,18900055,49.041969
312,847,región,11159,0.0002895544,0.028955,18911214,49.070925
313,848,factores,11147,0.0002892430,0.028924,18922361,49.099849
314,849,capital,11130,0.0002888019,0.028880,18933491,49.128729
315,850,américa,11019,0.0002859216,0.028592,18944510,49.157321
316,851,hacer,11008,0.0002856362,0.028564,18955518,49.185885
317,852,actividades,10836,0.0002811731,0.028117,18966354,49.214002
318,853,características,10829,0.0002809915,0.028099,18977183,49.242101
319,854,económica,10829,0.0002809915,0.028099,18988012,49.270201
320,855,espacio,10825,0.0002808877,0.028089,18998837,49.298289
321,856,sector,10729,0.0002783967,0.027840,19009566,49.326129
322,857,abril,10693,0.0002774626,0.027746,19020259,49.353875
323,858,disponible,10652,0.0002763987,0.027640,19030911,49.381515
324,859,mexicano,10651,0.0002763727,0.027637,19041562,49.409152
325,860,martínez,10645,0.0002762171,0.027622,19052207,49.436774
326,861,nuevo,10585,0.0002746602,0.027466,19062792,49.464240
327,862,hernández,10467,0.0002715983,0.027160,19073259,49.491400
328,863,recuperado,10467,0.0002715983,0.027160,19083726,49.518560
329,864,septiembre,10457,0.0002713388,0.027134,19094183,49.545694
330,865,punto,10454,0.0002712610,0.027126,19104637,49.572820
331,866,edad,10411,0.0002701452,0.027015,19115048,49.599834
332,867,distribución,10330,0.0002680434,0.026804,19125378,49.626639
333,868,their,10320,0.0002677839,0.026778,19135698,49.653417
334,869,ci,10310,0.0002675245,0.026752,19146008,49.680169
335,870,sa,10291,0.0002670314,0.026703,19156299,49.706873
336,871,línea,10268,0.0002664346,0.026643,19166567,49.733516
337,872,situación,10267,0.0002664087,0.026641,19176834,49.760157
338,873,capacidad,10265,0.0002663568,0.026636,19187099,49.786793
339,874,lado,10231,0.0002654746,0.026547,19197330,49.813340
340,875,mercado,10231,0.0002654746,0.026547,19207561,49.839888
341,876,actividad,10217,0.0002651113,0.026511,19217778,49.866399
342,877,esa,10186,0.0002643069,0.026431,19227964,49.892829
343,878,university,10161,0.0002636582,0.026366,19238125,49.919195
344,879,participación,10151,0.0002633987,0.026340,19248276,49.945535
345,880,elementos,10149,0.0002633468,0.026335,19258425,49.971870
346,881,mayo,10149,0.0002633468,0.026335,19268574,49.998204
347,882,elaboración,10148,0.0002633209,0.026332,19278722,50.024536
348,883,segundo,10146,0.0002632690,0.026327,19288868,50.050863
349,884,servicios,10105,0.0002622051,0.026221,19298973,50.077084
350,885,organización,10086,0.0002617121,0.026171,19309059,50.103255
351,886,estructura,10068,0.0002612450,0.026125,19319127,50.129380
352,887,todas,10047,0.0002607001,0.026070,19329174,50.155450
353,888,había,10032,0.0002603109,0.026031,19339206,50.181481
354,889,ne,10025,0.0002601293,0.026013,19349231,50.207494
355,890,menor,10009,0.0002597141,0.025971,19359240,50.233465
356,891,función,9993,0.0002592989,0.025930,19369233,50.259395
357,892,periodo,9976,0.0002588578,0.025886,19379209,50.285281
358,893,violencia,9971,0.0002587281,0.025873,19389180,50.311154
359,894,global,9929,0.0002576383,0.025764,19399109,50.336917
360,895,algunas,9891,0.0002566522,0.025665,19409000,50.362583
361,896,dad,9874,0.0002562111,0.025621,19418874,50.388204
362,897,ed,9872,0.0002561592,0.025616,19428746,50.413820
363,898,presencia,9861,0.0002558738,0.025587,19438607,50.439407
364,899,entonces,9832,0.0002551213,0.025512,19448439,50.464919
365,900,chile,9817,0.0002547321,0.025473,19458256,50.490392
366,901,agosto,9799,0.0002542650,0.025427,19468055,50.515819
367,902,anterior,9758,0.0002532011,0.025320,19477813,50.541139
368,903,españa,9744,0.0002528379,0.025284,19487557,50.566423
369,904,construcción,9713,0.0002520335,0.025203,19497270,50.591626
370,905,instituciones,9682,0.0002512291,0.025123,19506952,50.616749
371,906,acción,9680,0.0002511772,0.025118,19516632,50.641867
372,907,prácticas,9653,0.0002504766,0.025048,19526285,50.666914
373,908,acceso,9646,0.0002502950,0.025029,19535931,50.691944
374,909,tos,9617,0.0002495425,0.024954,19545548,50.716898
375,910,político,9616,0.0002495165,0.024952,19555164,50.741850
376,911,área,9612,0.0002494127,0.024941,19564776,50.766791
377,912,cuadro,9603,0.0002491792,0.024918,19574379,50.791709
378,913,permite,9588,0.0002487900,0.024879,19583967,50.816588
379,914,términos,9586,0.0002487381,0.024874,19593553,50.841462
380,915,momento,9577,0.0002485045,0.024850,19603130,50.866312
381,916,cia,9566,0.0002482191,0.024822,19612696,50.891134
382,917,antes,9558,0.0002480115,0.024801,19622254,50.915935
383,918,analysis,9541,0.0002475704,0.024757,19631795,50.940692
384,919,problemas,9535,0.0002474147,0.024741,19641330,50.965434
385,920,campo,9491,0.0002462730,0.024627,19650821,50.990061
386,921,largo,9488,0.0002461952,0.024620,19660309,51.014681
387,922,palabras,9481,0.0002460135,0.024601,19669790,51.039282
388,923,josé,9452,0.0002452610,0.024526,19679242,51.063808
389,924,comunicación,9450,0.0002452091,0.024521,19688692,51.088329
390,925,programa,9426,0.0002445864,0.024459,19698118,51.112788
391,926,rodríguez,9398,0.0002438598,0.024386,19707516,51.137174
392,927,press,9389,0.0002436263,0.024363,19716905,51.161536
393,928,formas,9374,0.0002432371,0.024324,19726279,51.185860
394,929,diferencia,9342,0.0002424067,0.024241,19735621,51.210101
395,930,ii,9342,0.0002424067,0.024241,19744963,51.234341
396,931,between,9309,0.0002415505,0.024155,19754272,51.258496
397,932,proyecto,9291,0.0002410834,0.024108,19763563,51.282605
398,933,efectos,9237,0.0002396822,0.023968,19772800,51.306573
399,934,research,9213,0.0002390594,0.023906,19782013,51.330479
400,935,existe,9210,0.0002389816,0.023898,19791223,51.354377
401,936,new,9209,0.0002389557,0.023896,19800432,51.378273
402,937,volumen,9206,0.0002388778,0.023888,19809638,51.402160
403,938,aprendizaje,9150,0.0002374247,0.023742,19818788,51.425903
404,939,sc,9134,0.0002370095,0.023701,19827922,51.449604
405,940,riesgo,9114,0.0002364906,0.023649,19837036,51.473253
406,941,quienes,9038,0.0002345185,0.023452,19846074,51.496705
407,942,experiencia,9017,0.0002339736,0.023397,19855091,51.520102
408,943,not,9009,0.0002337660,0.023377,19864100,51.543479
409,944,promedio,9002,0.0002335844,0.023358,19873102,51.566837
410,945,importancia,8940,0.0002319756,0.023198,19882042,51.590035
411,946,diferencias,8912,0.0002312491,0.023125,19890954,51.613160
412,947,study,8855,0.0002297700,0.022977,19899809,51.636137
413,948,público,8844,0.0002294846,0.022948,19908653,51.659085
414,949,niveles,8817,0.0002287840,0.022878,19917470,51.681963
415,950,orden,8817,0.0002287840,0.022878,19926287,51.704842
416,951,crítica,8812,0.0002286543,0.022865,19935099,51.727707
417,952,per,8812,0.0002286543,0.022865,19943911,51.750573
418,953,cambios,8793,0.0002281613,0.022816,19952704,51.773389
419,954,problema,8787,0.0002280056,0.022801,19961491,51.796189
420,955,obra,8766,0.0002274607,0.022746,19970257,51.818935
421,956,des,8759,0.0002272790,0.022728,19979016,51.841663
422,957,revistas,8697,0.0002256702,0.022567,19987713,51.864230
423,958,sánchez,8680,0.0002252291,0.022523,19996393,51.886753
424,959,cultural,8675,0.0002250994,0.022510,20005068,51.909263
425,960,mejor,8661,0.0002247361,0.022474,20013729,51.931737
426,961,contenido,8656,0.0002246064,0.022461,20022385,51.954197
427,962,comunidad,8650,0.0002244507,0.022445,20031035,51.976642
428,963,concepto,8614,0.0002235166,0.022352,20039649,51.998994
429,964,index,8605,0.0002232830,0.022328,20048254,52.021322
430,965,pérez,8605,0.0002232830,0.022328,20056859,52.043651
431,966,presenta,8595,0.0002230235,0.022302,20065454,52.065953
432,967,diseño,8591,0.0002229198,0.022292,20074045,52.088245
433,968,its,8578,0.0002225824,0.022258,20082623,52.110503
434,969,argentina,8570,0.0002223748,0.022237,20091193,52.132741
435,970,práctica,8570,0.0002223748,0.022237,20099763,52.154978
436,971,perspectiva,8568,0.0002223229,0.022232,20108331,52.177211
437,972,baja,8562,0.0002221673,0.022217,20116893,52.199427
438,973,hombres,8562,0.0002221673,0.022217,20125455,52.221644
439,974,ex,8533,0.0002214148,0.022141,20133988,52.243786
440,975,tecnología,8525,0.0002212072,0.022121,20142513,52.265906
441,976,sistemas,8510,0.0002208180,0.022082,20151023,52.287988
