Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
46,582,política,35210,0.0011112174,0.111122,12221041,38.569250
47,583,fue,33305,0.0010510961,0.105110,12254346,38.674360
48,584,ya,32952,0.0010399555,0.103996,12287298,38.778355
49,585,nacional,32865,0.0010372098,0.103721,12320163,38.882076
50,586,puede,32712,0.0010323812,0.103238,12352875,38.985314
51,587,trabajo,32464,0.0010245544,0.102455,12385339,39.087770
52,588,partir,32384,0.0010220296,0.102203,12417723,39.189973
53,589,dos,31829,0.0010045140,0.100451,12449552,39.290424
54,590,tanto,31703,0.0010005375,0.100054,12481255,39.390478
55,591,org,30830,0.0009729858,0.097299,12512085,39.487776
56,592,vida,30393,0.0009591942,0.095919,12542478,39.583696
57,593,otros,30305,0.0009564170,0.095642,12572783,39.679338
58,594,sino,30192,0.0009528507,0.095285,12602975,39.774623
59,595,forma,29567,0.0009331259,0.093313,12632542,39.867935
60,596,donde,29530,0.0009319582,0.093196,12662072,39.961131
61,597,estado,28677,0.0009050378,0.090504,12690749,40.051635
62,598,estos,28340,0.0008944022,0.089440,12719089,40.141075
63,599,han,27859,0.0008792219,0.087922,12746948,40.228997
64,600,todo,27640,0.0008723104,0.087231,12774588,40.316228
65,601,años,27601,0.0008710795,0.087108,12802189,40.403336
66,602,historia,27565,0.0008699434,0.086994,12829754,40.490331
67,603,ciudad,27203,0.0008585188,0.085852,12856957,40.576182
68,604,cuando,26797,0.0008457055,0.084571,12883754,40.660753
69,605,mismo,25951,0.0008190060,0.081901,12909705,40.742654
70,606,desarrollo,25914,0.0008178383,0.081784,12935619,40.824437
71,607,cual,25482,0.0008042045,0.080420,12961101,40.904858
72,608,nos,25474,0.0008039520,0.080395,12986575,40.985253
73,609,le,25453,0.0008032893,0.080329,13012028,41.065582
74,610,relación,25298,0.0007983975,0.079840,13037326,41.145422
75,611,caso,25094,0.0007919593,0.079196,13062420,41.224618
76,612,doi,24983,0.0007884562,0.078846,13087403,41.303463
77,613,manera,24900,0.0007858368,0.078584,13112303,41.382047
78,614,investigación,24852,0.0007843219,0.078432,13137155,41.460479
79,615,sentido,24711,0.0007798720,0.077987,13161866,41.538466
80,616,está,24431,0.0007710353,0.077104,13186297,41.615570
81,617,proceso,24413,0.0007704672,0.077047,13210710,41.692617
82,618,cada,24350,0.0007684789,0.076848,13235060,41.769465
83,619,análisis,24189,0.0007633978,0.076340,13259249,41.845804
84,620,otro,24140,0.0007618514,0.076185,13283389,41.921989
85,621,bajo,24069,0.0007596106,0.075961,13307458,41.997951
86,622,tiempo,24045,0.0007588532,0.075885,13331503,42.073836
87,623,issn,23150,0.0007306073,0.073061,13354653,42.146897
88,624,bien,23129,0.0007299445,0.072994,13377782,42.219891
89,625,et,22955,0.0007244531,0.072445,13400737,42.292336
90,626,sistema,22917,0.0007232539,0.072325,13423654,42.364662
91,627,estas,22789,0.0007192142,0.071921,13446443,42.436583
92,628,esto,22721,0.0007170682,0.071707,13469164,42.508290
93,629,revista,22708,0.0007166579,0.071666,13491872,42.579956
94,630,poder,22696,0.0007162792,0.071628,13514568,42.651584
95,631,mundo,22605,0.0007134072,0.071341,13537173,42.722924
96,632,lugar,22579,0.0007125867,0.071259,13559752,42.794183
97,633,vez,22291,0.0007034975,0.070350,13582043,42.864533
98,634,sólo,22195,0.0007004677,0.070047,13604238,42.934580
99,635,cultura,22167,0.0006995841,0.069958,13626405,43.004538
100,636,información,22150,0.0006990476,0.069905,13648555,43.074443
101,637,vol,22134,0.0006985426,0.069854,13670689,43.144297
102,638,redalyc,22024,0.0006950710,0.069507,13692713,43.213804
103,639,producción,21563,0.0006805220,0.068052,13714276,43.281856
104,640,artículo,21430,0.0006763246,0.067632,13735706,43.349489
105,641,buenos,21241,0.0006703598,0.067036,13756947,43.416525
106,642,mayor,21227,0.0006699179,0.066992,13778174,43.483517
107,643,tiene,21177,0.0006683400,0.066834,13799351,43.550351
108,644,sociedad,21110,0.0006662255,0.066623,13820461,43.616973
109,645,espacio,20982,0.0006621858,0.066219,13841443,43.683192
